indType,namCategory,namCity,idtCity,namDistrict,namState,namStreet,namSubCategory,Area,Total_area,Bedrooms,Bathrooms,Garages,totalGarages,totalRooms,valSales,idtProperty
S,Casas,São Carlos,1,Parque Tecnológico Damha,São Paulo,RUA MIGUEL DAMHA,Condomínio,238.0,420.0,3.0,5.0,4.0,4.0,6.0,1800000,66619
S,Casas,São Carlos,1,DOURADINHO,São Paulo,Rua Doutor Paulo Botassi,Padrão,106.0,197.8,2.0,2.0,3.0,3.0,3.0,370000,66617
S,Casas,São Carlos,1,MARIA STELLA FAGA,São Paulo,Rua Rafaela Saldanha,Padrão,100.0,1.84,2.0,2.0,4.0,4.0,3.0,280000,66611
S,Casas,São Carlos,1,Jardim Embaré,São Paulo,Rua Orlando de Oliveira,Padrão,125.0,250.0,1.0,1.0,2.0,2.0,1.0,370000,66607
S,Casas,São Carlos,1,Jardim Embaré,São Paulo,Rua Orlando de Oliveira,Padrão,200.0,250.0,4.0,5.0,4.0,4.0,7.0,850000,66606
S,Casas,São Carlos,1,Vila Boa Vista,São Paulo,Rua Luiz Carlos de Arruda Mendes,Padrão,156.4,257.55,3.0,3.0,2.0,2.0,3.0,373000,66604
S,Casas,São Carlos,1,MARIA STELLA FAGA,São Paulo,Rua Rafaela Saldanha,Padrão,120.0,190.9,2.0,2.0,2.0,2.0,3.0,380000,66602
S,Casas,São Carlos,1,Planalto Paraíso,São Paulo,Rua Noêmia Sampaio de Souza,Condomínio,200.0,300.0,4.0,2.0,2.0,2.0,5.0,700000,66601
S,Casas,São Carlos,1,Residencial Arcoville,São Paulo,Rua Roberto De Genova,Padrão,80.16,220.0,3.0,2.0,2.0,2.0,4.0,350000,66595
S,Casas,São Carlos,1,Jardim Acapulco,São Paulo,Rua Ozigl de Camargo Lima,Padrão,187.95,250.0,2.0,1.0,4.0,4.0,2.0,480000,66589
S,Casas,São Carlos,1,Jardim Botafogo 1,São Paulo,RUA DOUTOR JOÃO DE OLIVEIRA,Padrão,241.0,680.0,3.0,4.0,2.0,2.0,5.0,900000,66575
S,Casas,São Carlos,1,Centro,São Paulo,RUA SÃO SEBASTIÃO,Comercial,186.0,240.0,3.0,4.0,2.0,2.0,5.0,1150000,66574
S,Casas,São Carlos,1,Jardim Cruzeiro do Sul,São Paulo,Rua Basílio Dibbo,Padrão,252.0,363.0,3.0,3.0,10.0,10.0,6.0,720000,66537
SL,Casas,São Carlos,1,Jardim Araucária,São Paulo,Rua AMÉLIA CAMPITELLI MARCHETTI,Padrão,70.0,155.26,2.0,2.0,2.0,2.0,2.0,290000,66518
S,Casas,São Carlos,1,Residencial Astolpho Luiz do Prado,São Paulo,Rua Orlando Salvini,Padrão,150.0,167.2,3.0,1.0,2.0,2.0,3.0,430000,66514
