indType,Property_category,District,Street_name,Property_subcategory,numNumber,Built_uparea,Area_total,Bedroom,Bathroom,Grages,totalRooms,valLocation,latitude,longitude,totalAccess,flgHighlight,prop_char_95,Property_tax
L,Apartamentos,Parque Faber Castell,Passeio das Palmeiras,Padrão,420,,70,2,2,1,3,4223,-22.01629,-47.91655,86,0,70,
L,Apartamentos,Jardim Ipanema,Rua Vereador Lucas Perroni Júnior,Kitnet,371,,35,1,1,,1,667,-21.98786,-47.93106,106,0,35,
L,Apartamentos,Jardim Ipanema,Rua Vereador Lucas Perroni Júnior,Kitnet,371,,30,1,1,,1,615,-21.98786,-47.93106,49,0,30,
L,Apartamentos,Jardim Ipanema,Rua Vereador Lucas Perroni Júnior,Padrão,371,,30,1,1,,1,615,-21.98786,-47.93106,37,0,30,
L,Comercial,Parque Santa Mônica,Rua Madre Saint Bernard,Sala,890,,13,,1,,,889,-22.00892,-47.90243,42,0,13,30
L,Comercial,Parque Santa Mônica,Rua Madre Saint Bernard,Sala,978,,18.33,,1,,,1334,-22.0077858,-47.9024532,22,0,18.33,30
L,Comercial,Jardim São Carlos,AV. COMENDADOR ALFREDO MAFFEI,Salão,1310,,580,,4,3,,16667,-22.017028,-47.9000159,15,0,580,
L,Apartamentos,Parque Fehr,Servidão de Passagem João Deriggi,Padrão,181,,50,2,1,1,2,734,,,128,0,50,43
L,Comercial,Jardim São João Batista,Rua Antônio Blanco,Salão,1415,,34,,1,,,910,-22.0032194,-47.8774694,45,0,,11
L,Apartamentos,Parque Faber Castell,Passeio das Palmeiras,Padrão,520,,59,2,2,1,3,2223,-22.01629,-47.91655,219,0,59,150
L,Apartamentos,Vila Pelicano,RUA ROBERTO SIMONSEN,Padrão,10,,47.52,2,1,1,2,1556,-22.02188,-47.89755,108,0,47.52,40
L,Comercial,Vila Conceição,Rua Narus Nishihara,Salão,123,,58,,1,,,900,-22.04752,-47.89232,41,0,58,38
SL,Comercial,Centro,Rua Padre Teixeira,Sala,1842,,130.72,,2,,,5000,-22.01427,-47.89258,33,0,110,130
